seed,timeout,time,iter,total,rc,md,cc,rs
6071348554926658560,60,0,07,22,0,0,0,0,0
3999936176740088832,20,0.09,18,0,0,0,0,0
6062351667418155008,60,0.12,35,0,0,0,0,0
3772166402689995776,60,0.10,22,0,0,0,0,0
1690913400794153984,60,0.36,152,0,0,0,0,0
1152874302341163008,20,0.51,376,0,0,0,0,0
5671968537879455744,20,0.33,187,0,0,0,0,0
2577653036545725440,10,0.29,169,0,0,0,0,0
226464038092062720,10,0.77,1061,0,0,0,0,0
226689656615918592,20,0.98,1201,0,0,0,0,0
8340006608904274944,20,0.57,479,0,0,0,0,0
3089727096075652096,20,0.46,318,0,0,0,0,0
6989022892710433792,10,0.18,35,150,0,0,0,0
1122828557079292928,10,0.15,27,150,0,0,0,0
5875601400397452288,10,0.33,168,150,0,0,0,0
3592984656010847232,10,0.35,202,150,0,0,0,0
4911044972478353408,10,0.26,121,150,0,0,0,0
736965171361362944,10,0.14,18,4,0,0,0,0
3848859503302489088,10,0.14,22,4,0,0,0,0
